organization,title,cause,skills,location,time_commitment,volunteers_needed,description,link,source,latitude,longitude
Canadian Red Cross,Disaster Response Volunteer,community,communication;teamwork;leadership,Toronto,4 hours per week,12,Support disaster relief efforts by assisting families affected by emergencies and coordinating relief resources across the GTA.,https://www.redcross.ca/volunteer,https://www.redcross.ca/volunteer,43.6511,-79.347
Daily Bread Food Bank,Warehouse Volunteer,community,organization;teamwork;physical fitness,Toronto,3 hours,15,Sort donations and prepare food packages for community distribution centres serving over 200 programs across Toronto.,https://www.dailybread.ca/volunteer/,https://www.dailybread.ca,43.659,-79.3519
Toronto Public Library,Homework Help Tutor,education,teaching;mentoring;communication;math,Toronto,2 hours per week,8,"Assist students in grades 1â€“8 with homework and provide mentorship in math, reading, and science at local library branches.",https://www.torontopubliclibrary.ca/support-us/volunteer/,https://www.torontopubliclibrary.ca,43.6723,-79.3868
Habitat for Humanity GTA,Construction Site Volunteer,community,carpentry;teamwork;physical fitness,Toronto,1 full day (8 AM â€“ 4 PM),20,Join construction teams building affordable housing for families in need. No experience required â€” training provided on-site.,https://habitatgta.ca/volunteer,https://habitatgta.ca,43.6426,-79.4291
Toronto Humane Society,Animal Care Volunteer,animal-care,animal handling;teamwork;patience,Toronto,4 hours weekly,10,"Assist staff with feeding, walking, cleaning, and socializing animals awaiting adoption at one of Canada's oldest animal shelters.",https://www.torontohumanesociety.com/volunteer,https://www.torontohumanesociety.com,43.6689,-79.3637
EcoSpark,Watershed Monitoring Volunteer,environment,data collection;teamwork;hiking,GTA,3 hours weekly,6,Help collect water quality and biodiversity data along GTA rivers and creeks to support conservation and urban ecology research.,https://ecospark.ca/volunteer,https://ecospark.ca,43.7764,-79.3459
Kids Help Phone,Crisis Text Line Responder,healthcare,active listening;communication;empathy,Remote,5 hours weekly,25,Provide real-time emotional support and crisis intervention to young people across Canada via text-based chat services.,https://kidshelpphone.ca/get-involved,https://kidshelpphone.ca,43.6532,-79.3832
Second Harvest,Food Rescue Driver,community,driving;time management;navigation,Toronto,4 hours,8,"Pick up surplus food from restaurants, grocery stores, and caterers and deliver it to shelters and community centres across the city.",https://secondharvest.ca/volunteer,https://secondharvest.ca,43.7182,-79.3413
Big Brothers Big Sisters of Peel,Youth Mentor,education,mentoring;communication;patience,Mississauga,2 hours weekly,14,"Be a consistent, positive role model for a young person aged 7â€“14 through one-on-one outings and activities in Peel Region.",https://bigbrothersbigsisters.ca/volunteer,https://bigbrothersbigsisters.ca,43.5953,-79.5879
Toronto Community Housing,Community Garden Coordinator,environment,gardening;teamwork;community engagement,Toronto,2 hours weekly,5,Help maintain community gardens and run sustainable food programs at Toronto Community Housing neighborhoods across the city.,https://www.torontohousing.ca/residents/get-involved,https://www.torontohousing.ca,43.6571,-79.4515
Canadian Cancer Society,Relay for Life Event Volunteer,healthcare,event planning;fundraising;communication,Toronto,Event-based,18,"Help organize and run Relay for Life fundraising events, including setup, registration, and supporting participants through the night.",https://cancer.ca/en/get-involved/volunteer,https://cancer.ca,43.6489,-79.3925
Ontario Science Centre,Science Outreach Volunteer,education,teaching;science;public speaking,Toronto,4 hours per shift,6,Lead hands-on science demonstrations and workshops for school groups and families visiting one of Canada's premier science museums.,https://www.ontariosciencecentre.ca/volunteer,https://www.ontariosciencecentre.ca,43.7166,-79.3388
